job_title,job_type,job_categories,job_location,company_name,company_location,company_field,company_size,experience_needed,career_level,education_level,gender
General and treasury accountant,Full Time,Accounting/Finance,"Giza, Egypt",Sigma Scan,"Giza, Egypt ",Healthcare and Medical Services,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Industrial Cost Accountant -محاسب تكاليف صناعية,Full Time,Accounting/Finance,"6th of October, Giza",Nova Standard,Egypt ,Consumer Electronics,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Receivable Accountant (port said),Full Time,Accounting/Finance,"Port Said, Egypt",Confidential Company,"Port Said, Egypt",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Accounts Receivable Accountant (Faqus),Full Time,Accounting/Finance,"Faqus, Sharqia",Confidential Company,"Faqus, Sharqia",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Medical Claims Accountant,Full Time,Accounting/Finance,"Banha, Qalubia",Elaraby Group,"Cairo, Egypt ",Manufacturing,500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Budget Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Reportage Egypt Real Estate Development,"Cairo, Egypt ",Real Estate/Property Management,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accounts,Full Time,Accounting/Finance,"khanka, Qalubia",Multi M Group ,"Cairo, Egypt ",Furniture,500 Employees or more,Min: 10 Max: 15,Manager,Bachelor's Degree,Both
Treasury Manager,Full Time,Accounting/Finance,"khanka, Qalubia",Multi M Group ,"Cairo, Egypt ",Furniture,500 Employees or more,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Administrative Accountant (Female),Full Time,Accounting/Finance,"Masr Al Qadima, Cairo",European Paradise for Import and Export,Egypt ,"Food and Beverage Production, Import and Export",10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Production Cost Controller,Full Time,Accounting/Finance,"Obour City, Cairo",Confidential Company,"Obour City, Cairo",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Fin. Cost Controlling Manager - Alexandria,Full Time,Accounting/Finance,"Ameria, Alexandria",Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),"Alexandria, Egypt ","Automotive, Manufacturing",500 Employees or more,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Financial Auditing Manager,Full Time,Accounting/Finance,"Nasr City, Cairo",fine stone,"Cairo, Egypt ",Accounting and Auditing Services,100-499 Employees,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
Cost Accountant,Full Time,Accounting/Finance,"Haram, Giza",Zocer,"Giza, Egypt ","Apparel and Fashion, Textile and Clothing, Retail",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
External Auditor,Full Time,Accounting/Finance,"Mounib, Giza",Accounting Group,"Giza, Egypt ",Accounting and Auditing Services,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Cashier -- Sharm El Sheikh Airport,Full Time,Accounting/Finance,"Red Sea, Egypt",International Duty Free,"Cairo, Egypt ","FMCG, Retail",100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Preschool Payroll Specialist.,Full Time,Accounting/Finance,"New Cairo, Cairo",Trillium Preschool,"Cairo, Egypt ",Manufacturing,100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Power House Egypt,"Giza, Egypt ",Oil and Gas,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
