job_title,job_type,job_categories,job_location,company_name,company_location,company_field,company_size,experience_needed,career_level,education_level,gender
Cost & Budget Control Accountant,Full Time,Accounting/Finance,"Mohandessin, Giza",Mamiba ,"Giza, Egypt ","FMCG, Cosmetics",100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Cost Accountant,Full Time,Accounting/Finance,"Zamalek, Cairo",Rivulis-Eurodrip Egypt,"Cairo, Egypt ",Agriculture/Fishing/Farming,50-99 Employees,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Elitbuzz,Egypt ,Internet/E-commerce,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Site Accountant,Full Time,Accounting/Finance,"Dabaa, Matruh",ENBLOM ,"Cairo, Egypt ",Engineering Services,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Financial Software Consultant,Full Time,Accounting/Finance,"Heliopolis, Cairo",Comsys Software,"Cairo, Egypt ",Computer Software,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Coppermelt,"Cairo, Egypt ","Food and Beverage Production, Food Services/Restaurants/Catering",100-499 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Risk Officer( قنا - اسيوط - بني سويف ),Full Time,Accounting/Finance,"Assuit, Assiut",Aur Microfinance,"Cairo, Egypt ","Banking, Financial Services",50-99 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Tax Supervisor,Full Time,Accounting/Finance,"Giza, Giza",Al Ahly Medical Company,"Giza, Egypt ","Healthcare and Medical Services, Insurance",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Senior Cost Accountant - Cairo,Full Time,Accounting/Finance,"Cairo, Egypt",Boston Federal Financial,"Alexandria, Egypt ","Accounting and Auditing Services, Financial Services, Management Consulting",1-9 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Receivable Accountant,Full Time,Accounting/Finance,"Giza, Egypt",NowPay,"Giza, Egypt ","Computer Software, Financial Services",50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Food & Beverage Controller,Full Time,Accounting/Finance,"Giza, Egypt",Swiss Club Cairo,"Giza, Egypt ","Non-Profit Organizations, Food Services/Restaurants/Catering",10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Warehouse Accountant,Full Time,Accounting/Finance,"Giza, Giza",Afro Egypt,"Cairo, Egypt ","Information Technology Services, Engineering Services, Telecommunications",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Accounting Manager,Full Time,Accounting/Finance,"6th of October, Giza",Mamiba ,"Giza, Egypt ","FMCG, Cosmetics",100-499 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Payable Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Financial Manager - Construction,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Collector مندوب تحصيل,Full Time,Accounting/Finance,"Cairo, Egypt",Saint-Gobain,Egypt ,Manufacturing,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Treasury Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Saint-Gobain,Egypt ,Manufacturing,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",Confidential Company,"10th of Ramadan City, Sharqia",Manufacturing,10-49 Employees,Min: 7 Max: 10,"Senior Management (CEO, GM, Director, Head)",Bachelor's Degree,Male
Contract Administrator Junior Engineer,Full Time,Engineering - Construction/Civil/Architecture,"Sheikh Zayed, Giza",Protection,"Giza, Egypt ",Construction - Industrial Facilities and Infrastructure,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Contract Administrator Senior Engineer,Full Time,Engineering - Construction/Civil/Architecture,"Sheikh Zayed, Giza",Protection,"Giza, Egypt ",Construction - Industrial Facilities and Infrastructure,500 Employees or more,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Both
Senior SAP FICO Consultant,Full Time,IT/Software Development,"Sheraton, Cairo",Smart National Solutions,"Cairo, Egypt ",Information Technology Services,100-499 Employees,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Treasury Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Seldar Egypt,"Cairo, Egypt ",Travel and Tourism,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Junior Costing Accountant,Full Time,Accounting/Finance,"Obour City, Cairo",Selah ElTelmeez For Publishing & printing,"Cairo, Egypt ","Education, Publishing and Printing, E-Learning",500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Fawry for Banking Technology and Electronic Payments S.A.E,"Giza, Egypt ",Financial Services,500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Head OF Accounting,Full Time,Accounting/Finance,"Nasr City, Cairo",Confidential Company,"Nasr City, Cairo",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"Sheraton, Cairo",Femex Egypt,"Cairo, Egypt ","Apparel and Fashion, Retail",100-499 Employees,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Male
Accounting Specialist,Full Time,Accounting/Finance,"Downtown, Cairo",Reliance Egypt,"Cairo, Egypt ","Logistics and Supply Chain, Mining and Metals, Waste Management",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Bakier,"Cairo, Egypt ","Retail, Libraries",50-99 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Nasr City, Cairo",Mazloum Agri,Egypt ,Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Tayseer Chemicals ,Egypt ,Chemicals,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Accountant,Full Time,Accounting/Finance,"Heliopolis, Cairo",Hatolna,"Cairo, Egypt ",Internet/E-commerce,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Snuggs Egypt,"Cairo, Egypt ","Apparel and Fashion, Textile and Clothing, Internet/E-commerce",1-9 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Budgeting & Financial Analysis Manager,Full Time,Accounting/Finance,"New Cairo, Cairo", Cairo Three A  Poultry,Egypt ,Agriculture/Fishing/Farming,500 Employees or more,Min: 7 Max: 10,Manager,Bachelor's Degree,Male
Procurement & Logistics Officer,Full Time,Logistics/Supply Chain,"New Cairo, Cairo",Masria Digital Payment (MDP),Egypt ,"Banking, Information Technology Services, Manufacturing",100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Junior Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Saraya,"Cairo, Egypt ",Real Estate/Property Management,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accounting Clerk,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Corporate Treasury Officer,Full Time,Accounting/Finance,"Dokki, Giza",Premium Card,"Giza, Egypt ",Financial Services,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Corporate Banking Relations Officer,Full Time,Accounting/Finance,"Dokki, Giza",Premium Card,"Giza, Egypt ",Financial Services,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",IBIS SUPPLIES ,"Cairo, Egypt ",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Treasury Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Memaar Alashraaf,"Cairo, Egypt ",Real Estate/Property Management,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Cashier,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Managerial Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Andalusia Group,"Cairo, Egypt ",Healthcare and Medical Services,500 Employees or more,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Branch Accountant,Full Time,Accounting/Finance,"Giza, Giza",Etisal EG,"Cairo, Egypt ","Consumer Electronics, Retail, Telecommunications",500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Nasr City, Cairo",Al Rabat,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Construction - Residential & Commercial/Office, Real Estate/Property Management",50-99 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Tax Accountant,Full Time,Accounting/Finance,"New Nozha, Cairo",Dream2000,"Cairo, Egypt ",Retail,500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant,Full Time,Accounting/Finance,"Heliopolis, Cairo",alfanar,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Energy and Utilities, Management Consulting",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Internal Auditor,Full Time,Accounting/Finance,"Mohandessin, Giza",Cairoscan,"Giza, Egypt ",Healthcare and Medical Services,500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Cost Accountant,Full Time,Accounting/Finance,"Shubra Alkhaymah, Qalubia",Confidential Company,"Shubra Alkhaymah, Qalubia",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Finance Manager,Full Time,Accounting/Finance,"Shubra Alkhaymah, Qalubia",Confidential Company,"Shubra Alkhaymah, Qalubia",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Accounts Payable Accountant,Full Time,Accounting/Finance,"Shubra Alkhaymah, Qalubia",Confidential Company,"Shubra Alkhaymah, Qalubia",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant,Full Time,Accounting/Finance,"Shubra Alkhaymah, Qalubia",Confidential Company,"Shubra Alkhaymah, Qalubia",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Senior Tax Accountant,Full Time,Accounting/Finance,"Dokki, Giza",Power Sports&ftiness,"Giza, Egypt ","Health, Wellness and Fitness",50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant Specialist,Full Time,Accounting/Finance,"Giza, Egypt",Tasaheel Finance ,Egypt ,Financial Services,500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Payable Accountant,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Gates Development ,"Giza, Egypt ",Real Estate/Property Management,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Stock Controller - Retail Fashion,Full Time,Accounting/Finance,"Sheraton, Cairo",Obsession Boutique ,Egypt ,"Apparel and Fashion, Retail",10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Financial & Administrative Manager,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",Rident Dental Center,"Cairo, Egypt ",Healthcare and Medical Services,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Head Of Operational Risk,Full Time,Accounting/Finance,"New Cairo, Cairo",Confidential Company,"New Cairo, Cairo",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Audit Manager,Full Time,Accounting/Finance,"Obour City, Cairo",R squared Holding,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Construction - Residential & Commercial/Office",500 Employees or more,Min: 7 Max: 10,Manager,Bachelor's Degree,Male
General Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",DE.CI,"Cairo, Egypt ","Furniture, Internet/E-commerce",10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Cost control Manager,Full Time,Accounting/Finance,"Obour City, Cairo",R squared Holding,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Construction - Residential & Commercial/Office",500 Employees or more,Min: 7 Max: 10,Manager,Bachelor's Degree,Male
AP Section Head,Full Time,Accounting/Finance,"Maadi, Cairo",Jozoor Landscapes,"Cairo, Egypt ","Construction - Residential & Commercial/Office, Engineering Services",50-99 Employees,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
Finance Internship (3 Months),Internship,Accounting/Finance,"Maadi, Cairo",Andalusia Group,"Cairo, Egypt ",Healthcare and Medical Services,500 Employees or more,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Head OF Internal Audit,Full Time,Accounting/Finance,"New Cairo, Cairo",Confidential Company,"New Cairo, Cairo",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Financial Planning And Analysis Head,Full Time,Accounting/Finance,"Sheraton, Cairo",Speed Medical,"Cairo, Egypt ",Healthcare and Medical Services,500 Employees or more,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
Cost Accountant,Full Time,Accounting/Finance,"Alexandria, Egypt",Agromisr,"Alexandria, Egypt ","Food and Beverage Production, Import and Export, Manufacturing",50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Confidential Company,"Maadi, Cairo",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Taxes Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Cost Accountant - Ain Sokhna,Full Time,Accounting/Finance,"Ain Sokhna, Suez",Confidential Company,"Ain Sokhna, Suez",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant - Ain Sokhna,Full Time,Accounting/Finance,"Ain Sokhna, Suez",Confidential Company,"Ain Sokhna, Suez",Manufacturing,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
SAP Consultant,Full Time,Accounting/Finance,"New Cairo, Cairo",Sinai Sons Company,"Cairo, Egypt ","Construction - Residential & Commercial/Office, Import and Export, Real Estate/Property Management",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Payable Specialist (Ismailia),Full Time,Accounting/Finance,"Ismailia, Ismailia",J&T Express - Lightning,"Giza, Egypt ",Manufacturing,50-99 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Equity Trader,Full Time,Accounting/Finance,"Garden City, Cairo",Arab African Investment Management,"Cairo, Egypt ",Financial Services,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
AR Accountant,Full Time,Accounting/Finance,"Musturad, Qalubia",Confidential Company,"Musturad, Qalubia",Manufacturing,10-49 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Financial Analyst - Innoventures,Full Time,Accounting/Finance,"Heliopolis, Cairo",Cultiv,"Cairo, Egypt ","Business Services - Other, Management Consulting, Venture Capital and Private Equity",10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Financial Officer,Full Time,Accounting/Finance,"New Cairo, Cairo",Memaar Alashraaf,"Cairo, Egypt ",Real Estate/Property Management,50-99 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Accounting Manager,Full Time,Accounting/Finance,"Maadi, Cairo",Confidential Company,"Maadi, Cairo",Manufacturing,10-49 Employees,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
General Accountant,Full Time,Accounting/Finance,"Nasr City, Cairo",Med Sol Life Sceinces,"Cairo, Egypt ",Medical Devices and Supplies,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant Receivable,Full Time,Accounting/Finance,"Cairo, Egypt",Cairo Three A  for Agricultural and Animal Production,"Cairo, Egypt ",Agriculture/Fishing/Farming,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant (Nubariya),Full Time,Accounting/Finance,"Noubaria, Beheira",Confidential Company,"Noubaria, Beheira",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Finance Manager,Full Time,Accounting/Finance,"Maadi, Cairo",United Trading & Engineering Company,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Engineering Services",10-49 Employees,Min: 3 Max: 5,Manager,Bachelor's Degree,Both
Accounting Executive,Full Time,Accounting/Finance,"Mokattam, Cairo",Speed Tech,"Cairo, Egypt ","Consumer Electronics, Security and Surveillance",10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Bank Accountant,Full Time,Accounting/Finance,"Helwan, Cairo",Confidential Company,"Helwan, Cairo",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Receivable Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",ECRAL,"Cairo, Egypt ",Automotive,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Financial Consultant,Full Time,Accounting/Finance,"Cairo, Egypt",Z Advisors Group,"Cairo, Egypt ",Financial Services,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Commercial Staff Specialist,Full Time,Accounting/Finance,"Zamalek, Cairo",Hyundai Rotem,"Cairo, Egypt ",Engineering Services,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Tax Accountant,Full Time,Accounting/Finance,"Alexandria, Egypt",MTS Logistics,"Cairo, Egypt ",Logistics and Supply Chain,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant Teamleader,Full Time,Accounting/Finance,"Heliopolis, Cairo",Confidential Company,"Heliopolis, Cairo",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Sheraton, Cairo",PRO-TEC Egypt ,"Cairo, Egypt ",Engineering Services,50-99 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Internal Auditor,Full Time,Accounting/Finance,"Heliopolis, Cairo",Confidential Company,"Heliopolis, Cairo",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant,Full Time,Accounting/Finance,"6th of October, Giza",INTAG LLC,"Giza, Egypt ","FMCG, Manufacturing",10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Microsoft Dynamics F&O Functional Consultant,Full Time,IT/Software Development,"Zamalek, Cairo",Industrial Development Group - IDG,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Real Estate/Property Management",50-99 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Cashier,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Castana,Egypt ,Food Services/Restaurants/Catering,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Executive Manager - Cairo Branch,Full Time,Accounting/Finance,"New Cairo, Cairo",Al Janobi Co. For Contracting,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Construction - Residential & Commercial/Office, Manufacturing",100-499 Employees,Min: 10 Max: 15,Manager,Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Raya Distribution,"Cairo, Egypt ","Consumer Electronics, Retail",500 Employees or more,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant Admin,Full Time,Accounting/Finance,"New Cairo, Cairo",Confidential Company,"New Cairo, Cairo",Manufacturing,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Investment Analyst,Freelance / Project,Accounting/Finance,"Cairo, Egypt",Alliance Capital,"Cairo, Egypt ","Business Services - Other, Investment Banking",10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Internal Auditor - SAP User,Full Time,Accounting/Finance,"Sheikh Zayed, Giza",Confidential Company,"Sheikh Zayed, Giza",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Bank Accountant,Full Time,Accounting/Finance,"Mokattam, Cairo",Ghalioungui ,"Cairo, Egypt ",Medical Devices and Supplies,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Treasury manager,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",VIVO,"Cairo, Egypt ",Manufacturing,500 Employees or more,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Male
Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Hot Shot Egypt,Egypt ,Manufacturing,1-9 Employees,Min: 3 Max: 5,Entry Level (Junior Level / Fresh Grad),High School / Diploma (or equivalent),Both
Senior Accountant at Ain Sokhna,Full Time,Accounting/Finance,"Ain Sokhna, Suez",Delta Logistics,"Cairo, Egypt ",Logistics and Supply Chain,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Accountant (Customers & suppliers),Full Time,Accounting/Finance,"Maadi, Cairo",Safa Soft,"Cairo, Egypt ","Marketing and Advertising, Computer Software, Information Technology Services",50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant,Full Time,Accounting/Finance,"Alsadat City, Monufya",Good Wood,"Giza, Egypt ",Manufacturing,100-499 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",El Reefy Trading ,"Cairo, Egypt ","FMCG, Import and Export",10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Costing Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",Aman Holding,Egypt ,"Financial Services, Healthcare and Medical Services, Retail",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Banking & Treasury Accountant,Full Time,Accounting/Finance,"Bourj Alarab, Alexandria",ABCO Group ,"Alexandria, Egypt ","FMCG, Manufacturing, Plastics",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Payable Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",Aman Holding,Egypt ,"Financial Services, Healthcare and Medical Services, Retail",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Payable Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Cairo",Energya Cables,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Manufacturing",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Amanleek,"Cairo, Egypt ",Internet/E-commerce,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Financial Auditor,Full Time,Accounting/Finance,"Nasr City, Cairo",Finest for Hospitality Integrated Solutions,"Cairo, Egypt ","Architectural and Design Services, Hospitality/Hotels, Logistics and Supply Chain",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
ERP Consultant,Part Time,Accounting/Finance,"Cairo, Egypt",Fatura ,"Cairo, Egypt ","FMCG, Internet/E-commerce",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
StoreKeeper,Full Time,Accounting/Finance,"6th of October, Giza",Fine Hygienic Holding,"Giza, Egypt ","FMCG, Manufacturing, Paper and Forest Products",500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accounts Receivable Accountant (A/R Accountant),Full Time,Accounting/Finance,"Bourj Alarab, Alexandria",ABCO Group ,"Alexandria, Egypt ","FMCG, Manufacturing, Plastics",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Downtown, Cairo",Fund Ourselves Ltd,"Cairo, Egypt ",Financial Services,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Receivable Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Cairo",Energya Cables,"Cairo, Egypt ","Construction - Industrial Facilities and Infrastructure, Manufacturing",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Raya  ,"Giza, Egypt ","Outsourcing/Offshoring, Telecommunications",500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Internal Auditor,Full Time,Accounting/Finance,"Nasr City, Cairo",Unimix Egypt for Readymix concrete,"Cairo, Egypt ",Construction - Industrial Facilities and Infrastructure,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Compliance Officer,Full Time,Legal,"Cairo, Egypt",Saint-Gobain,Egypt ,Manufacturing,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
